column 1,column 2,column 3,column 4,column 5,column 6,column 7,column 8,column 9
Adobe Stock Library,https://stock.adobe.com/free,"Adobe's party free library containing stock images, video's, audio, vector graphics, 3D-assets, and more. Take care to abide by the licensing terms of the material you use! Employees should log in through their institutional email address to get full access. ",Adobe,Limited (functionality),1,Productivity,40,images\40.png
Open Refine,https://openrefine.org/,"open refine is a free & open tool that helps researchers clean up messy data, without needing programming knowledge. Acquired by Google (now Alphabet), but was made free & open a couple of years ago. ",Alphabet,Yes,3,Productivity,41,images\41.png
DeepL,https://www.deepl.com/translator,"Powerful and high-quality translation and writing tool based on Linquee database (looking at how words are actually translated IRL). Paid plans available, but free plug-ins and limited use.",DeepL,Limited (functionality),1,Productivity,42,images\42.png
Covidence,https://www.covidence.org/,"Tool to manage literature review studies, in order to structurally and systematically build the review, with support for multiple authors. Paid software, the UT has a license. ",Covidence,Yes,3,Productivity,43,images\43.png
Bing Chat,https://www.bing.com/new,"Language model built on top of Bing (Microsoft's search engine). Can be used to ask question just like e.g. ChatGPT, but is also connected to the internet and sources it's statements. Currently free, with a waiting list you have to sign up for. ",Microsoft,Yes,2,Productivity,44,images\44.png
Lateral,https://www.lateral.io/,"Tool that uses language models to help you do systematic literature reviews. You can add concepts and the tool helps you find snippets that might be linked to the topic. ",Lateral,Yes,2,Productivity,45,images\45.png
Search Smart,https://www.searchsmart.org/,Free tool that indexes search tools and helps you find the one you need.,Search Smart,Yes,2,Productivity,46,images\46.png
Open Access Journal Finder,https://www.enago.com/researcher-hub/journal-finder.htm,"Search engine to find an open acces journal to publish in by Enago, a commercial scientific editor company. ",Enago,Yes,2,Publishing,47,images\47.png
"Elsevier Journal Finder ",https://journalfinder.elsevier.com/,"Elsevier's journal finder. Uses machine learning to use your abstract & title to suggest journals to publish in. ",Elsevier,Yes,2,Publishing,48,images\48.png
HAL archive ouverte,https://hal.science/,"Open database moderated by a French public scientific institute where researchers can freely upload & archive their papers, and users can access them.",Centre pour la communication scientifique directe,Yes,2,Publishing,49,images\49.png
